model,params_total,params_trainable,epoch_time_s,test_accuracy,test_macro_f1,test_macro_auc
pneumonet,1239779,1239779,50.16617178916931,0.9796557120500783,0.9793554351152371,0.9981532352565261
vgg16_frozen,134272835,12291,61.49051412940025,0.9248826291079812,0.9160087838980213,0.9835660678419239
vgg16_finetune,134272835,7091715,72.3212484518687,0.9765258215962441,0.9759392514055355,0.9979981012106048
resnet50_frozen,23514179,6147,34.61940001249313,0.9405320813771518,0.9407341425033956,0.9924761027000648
resnet50_finetune,23514179,14970883,48.446297277103774,0.97339593114241,0.9752524136450065,0.9949428313370108
